Model,Accuracy,Precision,Recall,F1,AUC,Time(s)
LogisticRegression,0.7864212027174369,0.7996317008783919,0.7864212027174369,0.7309828616621974,0.6734572284117082,8.723896741867065
RandomForest,0.8008890379937935,0.8052499307176009,0.8008890379937935,0.760732160833839,0.6987400017313374,23.66843295097351
NaiveBayes,0.7681791495429002,0.7901598570116225,0.7681791495429003,0.6913480365447197,0.589287361140378,2.3987934589385986
LinearSVC,0.7681791495429002,0.7901598570116225,0.7681791495429003,0.6913480365447197,0.6947460907391981,39.96141576766968
GBTClassifier,0.8065503648410635,0.808392984540148,0.8065503648410635,0.7715223364862703,0.7263627322260467,59.29695105552673
GBTClassifier_tuned,0.8095697391596075,,,0.7779540556428217,0.7327358132123669,1003.4382405281067
LogisticRegression_tuned,0.7864212027174369,,,0.7309828616621974,0.6734569818487215,77.2570128440857
