Model,RMSE,MAE,R2,Time(s)
LinearRegression,198.32068976619922,66.80379724183041,0.5128883611241264,12.333664655685425
DecisionTreeRegressor,190.1884350909579,70.54738179130571,0.5520178930096328,8.461964130401611
RandomForestRegressor,166.03171150352156,69.16761488358541,0.6585913285394969,22.941685676574707
RandomForestRegressor_tuned,152.37652950354376,66.68549764050559,0.7124399079464404,656.2830348014832
